Total emissions: 336430.42999999906
 
Vehicle; Emission 
test_trip_512;272.1800000000001
test_trip_515;16.07
test_trip_518;258.1200000000001
test_trip_519;315.68
test_trip_520;275.61999999999995
test_trip_410;593.3599999999996
test_trip_415;157.99999999999997
test_trip_460;531.2100000000002
test_trip_467;387.1999999999999
test_trip_492;407.1699999999997
test_trip_507;94.00999999999999
test_trip_514;436.47
test_trip_516;436.37999999999994
test_trip_524;337.3199999999998
test_trip_526;124.71000000000001
test_trip_528;219.65000000000006
test_trip_529;387.6199999999997
test_trip_531;143.15
test_trip_487;387.15000000000003
test_trip_505;359.02999999999986
test_trip_513;233.70999999999995
test_trip_521;363.36999999999995
test_trip_523;353.78000000000003
test_trip_534;359.1699999999999
test_trip_535;304.2199999999997
test_trip_537;28.6
test_trip_538;369.6100000000002
test_trip_542;491.63
test_trip_543;297.84999999999974
test_trip_544;341.5199999999999
test_trip_382;92.79999999999994
test_trip_424;335.79999999999995
test_trip_488;408.38
test_trip_490;257.1000000000001
test_trip_532;325.4200000000001
test_trip_541;266.13000000000034
test_trip_545;338.7699999999998
test_trip_546;321.44000000000005
test_trip_548;473.60999999999956
test_trip_552;556.1599999999995
test_trip_554;341.95000000000005
test_trip_555;510.5799999999997
test_trip_341;221.02999999999992
test_trip_497;129.64
test_trip_556;436.70999999999987
test_trip_557;364.3799999999999
test_trip_558;353.15999999999997
test_trip_560;320.01
test_trip_561;281.4899999999997
test_trip_564;250.63000000000002
test_trip_566;263.9200000000001
test_trip_313;134.78000000000003
test_trip_390;334.4
test_trip_394;320.7499999999997
test_trip_440;335.16999999999985
test_trip_501;234.51999999999984
test_trip_502;198.2599999999999
test_trip_504;296.34999999999985
test_trip_549;222.81
test_trip_562;477.63000000000034
test_trip_568;93.56999999999996
test_trip_572;164.0300000000001
test_trip_573;332.6200000000001
test_trip_576;323.48000000000013
test_trip_577;612.8699999999995
test_trip_433;160.12000000000006
test_trip_578;488.94999999999993
test_trip_585;198.38000000000014
test_trip_525;358.34000000000015
test_trip_581;352.93
test_trip_582;330.59999999999985
test_trip_590;401.41999999999973
test_trip_598;537.6699999999994
test_trip_471;377.41999999999996
test_trip_511;57.12
test_trip_533;198.91000000000008
test_trip_592;204.69999999999993
test_trip_596;190.69000000000003
test_trip_601;237.39999999999998
test_trip_602;373.66999999999985
test_trip_604;108.83
test_trip_605;251.26000000000005
test_trip_607;241.85000000000005
test_trip_608;216.89
test_trip_611;321.1599999999999
test_trip_432;257.58999999999986
test_trip_486;282.54
test_trip_493;569.99
test_trip_559;408.31000000000034
test_trip_567;320.7400000000001
test_trip_575;337.72
test_trip_579;352.52
test_trip_580;510.90000000000026
test_trip_589;428.52
test_trip_594;140.29
test_trip_613;282.2900000000001
test_trip_619;177.84
test_trip_485;395.4999999999998
test_trip_503;528.5400000000001
test_trip_551;199.95
test_trip_571;386.8599999999999
test_trip_599;312.82000000000005
test_trip_620;460.14000000000004
test_trip_623;462.4799999999999
test_trip_624;475.5799999999997
test_trip_625;375.0499999999998
test_trip_632;244.6200000000001
test_trip_540;359.8999999999999
test_trip_565;330.84999999999997
test_trip_616;659.7799999999995
test_trip_635;840.53
test_trip_636;267.1099999999999
test_trip_638;387.1099999999997
test_trip_640;56.80000000000001
test_trip_643;304.83000000000004
test_trip_644;276.27
test_trip_621;445.03000000000014
test_trip_645;248.85000000000002
test_trip_646;352.19999999999993
test_trip_649;159.80999999999997
test_trip_650;424.92999999999984
test_trip_651;317.4399999999999
test_trip_462;363.5599999999999
test_trip_539;434.62
test_trip_550;184.65000000000003
test_trip_563;402.2899999999999
test_trip_569;148.92000000000013
test_trip_574;168.53
test_trip_618;209.49000000000007
test_trip_628;101.66
test_trip_631;376.7099999999999
test_trip_659;258.6600000000002
test_trip_660;242.51000000000008
test_trip_661;459.77000000000027
test_trip_662;333.6899999999997
test_trip_663;349.78000000000003
test_trip_665;172.0399999999999
test_trip_666;477.04999999999967
test_trip_342;290.77000000000015
test_trip_372;372.50000000000006
test_trip_668;291.48999999999995
test_trip_671;334.2800000000001
test_trip_672;282.3200000000002
test_trip_673;268.55
test_trip_674;311.29
test_trip_675;507.3899999999999
test_trip_676;213.9700000000001
test_trip_677;431.7499999999999
test_trip_600;160.28000000000003
test_trip_610;96.34000000000002
test_trip_626;156.86
test_trip_637;191.22000000000003
test_trip_654;425.16000000000014
test_trip_664;259.5
test_trip_678;388.69000000000034
test_trip_679;153.09000000000003
test_trip_683;386.45000000000016
test_trip_686;449.9399999999998
test_trip_687;341.9899999999997
test_trip_517;191.05999999999997
test_trip_570;429.04
test_trip_584;509.9900000000003
test_trip_586;145.20000000000005
test_trip_691;303.63
test_trip_692;506.7000000000003
test_trip_693;210.25999999999996
test_trip_694;339.60000000000014
test_trip_698;428.84000000000003
test_trip_500;525.5799999999998
test_trip_597;389.1400000000003
test_trip_615;242.50000000000014
test_trip_627;213.99999999999994
test_trip_655;249.52999999999983
test_trip_656;214.42000000000002
test_trip_682;335.94000000000005
test_trip_690;43.66
test_trip_704;474.8000000000001
test_trip_706;257.4999999999999
test_trip_707;555.6599999999997
test_trip_708;303.8
test_trip_709;381.07000000000045
test_trip_633;309.9399999999998
test_trip_696;194.90000000000003
test_trip_711;320.47999999999996
test_trip_714;264.9600000000001
test_trip_715;576.7899999999994
test_trip_716;80.55999999999999
test_trip_721;183.73999999999998
test_trip_722;351.95999999999987
test_trip_530;184.56
test_trip_587;218.8499999999999
test_trip_612;317.26000000000005
test_trip_680;508.8399999999998
test_trip_697;189.26999999999998
test_trip_700;495.5400000000001
test_trip_724;553.6799999999995
test_trip_725;62.37000000000002
test_trip_726;529.25
test_trip_727;177.86
test_trip_729;397.64999999999986
test_trip_732;318.67999999999995
test_trip_489;359.6500000000002
test_trip_603;142.08
test_trip_629;465.0099999999998
test_trip_648;177.6400000000001
test_trip_669;229.93000000000018
test_trip_688;152.95999999999995
test_trip_720;174.10999999999999
test_trip_734;580.6299999999998
test_trip_735;197.28000000000014
test_trip_737;381.90999999999974
test_trip_739;210.3200000000002
test_trip_740;403.54999999999984
test_trip_744;211.22000000000003
test_trip_591;309.7599999999998
test_trip_695;357.67999999999995
test_trip_713;342.7199999999999
test_trip_718;268.6299999999999
test_trip_746;396.49000000000007
test_trip_747;366.0900000000002
test_trip_748;154.46999999999994
test_trip_749;57.45000000000001
test_trip_609;293.7600000000001
test_trip_642;449.57999999999964
test_trip_658;164.02
test_trip_667;98.57000000000002
test_trip_702;332.3299999999998
test_trip_705;207.14999999999995
test_trip_728;176.61000000000013
test_trip_738;214.71000000000006
test_trip_742;197.96000000000004
test_trip_755;70.71000000000001
test_trip_756;242.19999999999996
test_trip_758;116.07000000000002
test_trip_764;285.0199999999999
test_trip_647;459.31999999999965
test_trip_731;314.11999999999983
test_trip_753;367.59000000000003
test_trip_761;232.3199999999999
test_trip_767;255.66999999999996
test_trip_773;296.38
test_trip_774;457.02
test_trip_775;216.81000000000014
test_trip_776;465.54
test_trip_777;403.4399999999999
test_trip_375;77.51999999999998
test_trip_553;167.91000000000008
test_trip_689;586.7599999999999
test_trip_710;108.55000000000013
test_trip_751;226.17000000000004
test_trip_760;268.9899999999999
test_trip_778;210.60000000000002
test_trip_780;147.23
test_trip_782;29.730000000000004
test_trip_783;209.3100000000001
test_trip_786;302.23999999999995
test_trip_787;68.29000000000002
test_trip_699;125.97000000000001
test_trip_752;416.4500000000001
test_trip_768;394.25000000000006
test_trip_790;354.40000000000015
test_trip_791;384.4199999999999
test_trip_793;347.91999999999996
test_trip_794;219.54999999999998
test_trip_800;407.18000000000023
test_trip_681;226.51000000000008
test_trip_750;520.2699999999993
test_trip_763;108.69000000000001
test_trip_804;120.95
test_trip_805;397.29999999999984
test_trip_809;144.57999999999998
test_trip_811;114.03999999999999
test_trip_583;265.11999999999995
test_trip_719;235.1600000000001
test_trip_765;281.57
test_trip_769;290.80999999999995
test_trip_779;84.31000000000002
test_trip_812;495.4099999999998
test_trip_814;246.41000000000005
test_trip_815;470.3899999999996
test_trip_818;533.98
test_trip_821;104.86000000000003
test_trip_595;79.74
test_trip_730;556.6700000000001
test_trip_771;346.82000000000005
test_trip_799;178.51999999999992
test_trip_817;114.53999999999998
test_trip_830;225.94000000000008
test_trip_831;218.14
test_trip_832;270.96999999999997
test_trip_657;353.34000000000015
test_trip_712;367.13000000000017
test_trip_741;245.15000000000006
test_trip_789;424.29999999999995
test_trip_796;490.2000000000002
test_trip_808;420.94
test_trip_816;485.91999999999985
test_trip_834;186.09000000000015
test_trip_837;70.85999999999999
test_trip_838;112.67999999999995
test_trip_842;247.39999999999986
test_trip_733;379.34
test_trip_757;448.95
test_trip_785;49.839999999999996
test_trip_797;386.5400000000003
test_trip_829;172.82000000000005
test_trip_841;297.00999999999993
test_trip_845;522.3999999999996
test_trip_847;87.68
test_trip_849;286.0900000000001
test_trip_850;350.75999999999965
test_trip_853;360.2399999999998
test_trip_588;325.8299999999998
test_trip_593;172.71000000000004
test_trip_614;428.9700000000002
test_trip_723;489.53000000000014
test_trip_819;432.0499999999998
test_trip_856;247.25000000000006
test_trip_859;165.93000000000012
test_trip_861;200.94000000000003
test_trip_862;121.02000000000001
test_trip_865;357.0599999999999
test_trip_866;369.6899999999999
test_trip_617;476.5400000000002
test_trip_784;316.9900000000001
test_trip_813;479.1499999999997
test_trip_826;375.3299999999999
test_trip_833;136.21
test_trip_854;84.64000000000003
test_trip_869;82.53999999999998
test_trip_870;252.19999999999996
test_trip_873;499.55000000000007
test_trip_875;408.03000000000003
test_trip_876;267.2000000000001
test_trip_877;241.15
test_trip_871;284.06000000000006
test_trip_887;443.68
test_trip_888;117.08000000000004
test_trip_792;484.6899999999999
test_trip_828;100.29999999999998
test_trip_860;325.45
test_trip_874;249.39000000000004
test_trip_892;343.3400000000001
test_trip_893;369.18999999999994
test_trip_897;134.19
test_trip_898;298.00999999999993
test_trip_900;465.2599999999999
test_trip_754;438.76
test_trip_772;179.26
test_trip_781;396.85000000000014
test_trip_788;267.3400000000001
test_trip_810;291.47
test_trip_825;481.17000000000013
test_trip_883;276.25000000000006
test_trip_902;154.77
test_trip_905;233.24000000000004
test_trip_906;714.3500000000005
test_trip_907;393.62000000000023
test_trip_908;506.78000000000014
test_trip_910;507.78999999999996
test_trip_911;221.3799999999999
test_trip_685;209.30000000000004
test_trip_759;265.32000000000005
test_trip_863;159.24999999999997
test_trip_864;344.4599999999999
test_trip_881;183.46999999999994
test_trip_903;435.9900000000004
test_trip_912;351.63
test_trip_914;239.98000000000013
test_trip_918;163.45999999999992
test_trip_921;302.3299999999999
test_trip_803;161.82
test_trip_827;368.03999999999996
test_trip_836;492.73999999999984
test_trip_846;232.5200000000001
test_trip_857;169.29000000000002
test_trip_867;324.8300000000001
test_trip_889;291.6
test_trip_899;350.9699999999997
test_trip_925;351.7599999999999
test_trip_927;655.6999999999994
test_trip_928;194.78000000000011
test_trip_931;353.4499999999999
test_trip_933;46.73000000000005
test_trip_653;418.6799999999997
test_trip_736;293.59999999999997
test_trip_824;287.53999999999996
test_trip_852;334.9100000000002
test_trip_868;292.8500000000001
test_trip_884;381.13999999999993
test_trip_909;301.3899999999999
test_trip_922;219.6800000000001
test_trip_934;331.4
test_trip_939;434.09
test_trip_940;368.0899999999998
test_trip_942;53.959999999999994
test_trip_943;335.6899999999998
test_trip_641;133.53
test_trip_891;24.3
test_trip_924;237.63000000000002
test_trip_938;415.8600000000003
test_trip_946;44.480000000000004
test_trip_948;130.51
test_trip_949;480.2699999999999
test_trip_955;256.21000000000004
test_trip_447;102.25999999999999
test_trip_835;88.52999999999999
test_trip_929;453.8100000000001
test_trip_957;149.67999999999998
test_trip_958;314.89999999999986
test_trip_960;362.2899999999998
test_trip_961;362.77000000000015
test_trip_964;88.27
test_trip_965;246.05000000000013
test_trip_966;216.69
test_trip_684;139.94000000000005
test_trip_968;458.0799999999998
test_trip_969;284.86
test_trip_970;384.94000000000005
test_trip_972;219.76999999999995
test_trip_974;274.8500000000001
test_trip_977;675.0499999999996
test_trip_630;304.4399999999999
test_trip_839;350.9499999999999
test_trip_843;400.71999999999986
test_trip_917;308.45000000000005
test_trip_959;300.49
test_trip_971;245.8
test_trip_982;488.3599999999997
test_trip_984;245.94
test_trip_987;195.69999999999985
test_trip_901;426.5700000000002
test_trip_913;449.80999999999995
test_trip_936;352.12999999999965
test_trip_986;348.5800000000001
test_trip_989;206.2800000000001
test_trip_990;328.9399999999998
test_trip_993;403.32000000000016
test_trip_997;393.29
test_trip_1001;269.09
test_trip_1002;477.0400000000001
test_trip_1003;256.78000000000003
test_trip_1004;271.69
test_trip_1005;193.48
test_trip_1008;377.12999999999965
test_trip_1010;337.4299999999999
test_trip_1011;403.96999999999974
test_trip_895;32.7
test_trip_954;333.64
test_trip_991;383.84000000000015
test_trip_1012;420.60999999999996
test_trip_1013;224.43000000000004
test_trip_1016;346.4700000000002
test_trip_622;285.35999999999996
test_trip_795;147.73999999999995
test_trip_896;292.8799999999999
test_trip_919;387.18999999999966
test_trip_932;252.45
test_trip_937;236.22
test_trip_947;401.66999999999973
test_trip_952;267.71000000000004
test_trip_981;395.1699999999993
test_trip_988;369.5200000000001
test_trip_1026;450.5599999999996
test_trip_1030;300.8499999999999
test_trip_1032;191.66
test_trip_1033;530.16
test_trip_652;487.3799999999998
test_trip_882;193.66000000000008
test_trip_956;437.8300000000002
test_trip_985;175.61999999999998
test_trip_995;90.07000000000002
test_trip_1017;242.13000000000005
test_trip_1035;259.33000000000004
test_trip_1037;268.5799999999998
test_trip_1041;422.17999999999995
test_trip_1044;210.79000000000002
test_trip_979;376.31000000000006
test_trip_994;421.2999999999997
test_trip_1029;369.06000000000006
test_trip_1038;171.00999999999996
test_trip_1045;695.01
test_trip_1046;144.40999999999997
test_trip_717;464.0799999999997
test_trip_745;274.6999999999999
test_trip_880;152.29999999999998
test_trip_978;372.2
test_trip_1019;232.07999999999993
test_trip_1039;275.96
test_trip_1040;432.32
test_trip_1050;284.6300000000001
test_trip_1056;164.33000000000013
test_trip_1057;179.37999999999997
test_trip_1060;389.8399999999997
test_trip_1063;135.3
test_trip_1066;261.89000000000004
test_trip_798;321.94999999999976
test_trip_855;368.86000000000007
test_trip_872;190.4000000000001
