Total emissions: 333991.6099999999
 
lane; Emission 
:1372376937_5_0;97.08000000000001
:1377211668_2_0;8.639999999999999
58077051_0;146.60999999999999
:1377940920_5_0;1.02
:1372233754_4_0;103.70999999999998
77615982_1;18.520000000000003
:720742796_0_0;12.17
58077048#0_0;91.19
:1377211668_1_0;3.01
:25291537_3_0;73.32
:1377211668_3_0;1.4
:1372470119_2_0;1.1500000000000001
:1372233754_1_0;167.55999999999997
:1372233754_1_1;97.35000000000004
:60004721_16_0;68.21999999999998
:1372260497_7_0;237.76
:1377940920_3_0;119.76
:60170470_3_0;0.39
:1372205478_0_1;4.550000000000001
:25291550_6_0;40.62000000000001
:1377940926_10_0;1.3800000000000001
:25292473_6_0;92.58000000000001
:1372376956_0_0;173.07000000000002
:1372376956_5_0;0.88
:cluster_1005526490_25291568_5_0;6.67
:1377211668_7_0;0.6400000000000001
:25291581_0_0;14.200000000000001
26692016_0;100.21000000000001
:1372260497_1_0;7.74
:317703803_2_0;35.46
:317703803_2_1;8.79
:1372376937_3_0;1.19
:60004721_5_0;60.25
:1377211668_4_0;1.88
:60170471_0_0;8.100000000000001
:266159800_0_2;5.210000000000001
:1372376937_13_0;7.96
37137191#0_1;35.38999999999999
:25291565_13_0;91.69999999999995
:25291564_13_0;43.46
:1377211666_0_0;7.0
:292727238_0_0;10.99
:cluster_1372207346_266159810_311043735_344219179_7734325326_7734325333_3_0;15.36
:cluster_1372477605_246630384_246630386_266378250_292727217_317703608_317703609_434149261_6795337887_6795337888_6795337889_6860480481_913255820_2_0;340.45000000000005
:1372376956_4_0;101.48999999999998
:25291564_6_0;127.36000000000003
:1372376937_10_0;22.04
:247359926_18_0;2.32
30528320#0_0;171.91000000000003
:1372441189_0_0;12.98
:1377211668_6_0;49.449999999999996
:1372318837_1_0;21.5
:cluster_1372207346_266159810_311043735_344219179_7734325326_7734325333_1_0;76.09999999999998
:1372260497_6_0;61.28999999999999
:25291567_7_0;91.82000000000001
:25291567_7_1;91.51
:25291550_4_1;23.379999999999995
:1377940926_3_0;7.250000000000001
:56116937_2_0;149.75000000000003
:1377940926_8_0;1.7300000000000002
:1371750095_3_0;0.31
:1377211668_11_0;0.8300000000000001
:314935876_1_0;110.88000000000001
123911189#0_0;88.29999999999998
:25292473_5_0;0.04
:25291572_2_0;127.05999999999999
:cluster_266159806_266159899_7_0;2.17
:60170470_4_0;3.7699999999999996
:60004721_3_0;1.83
:25291565_15_0;0.38
:25291565_23_0;1.62
:25292473_12_0;0.15000000000000002
:1394709294_0_1;1.57
:cluster_266159806_266159899_13_0;0.43
:25291565_5_0;35.04
:cluster_1372318829_159619609_4_1;49.89999999999999
:25291564_5_0;67.15000000000002
:25291567_12_0;0.15999999999999998
:25291567_4_0;80.39
:1372318831_13_0;11.330000000000002
:1377211668_0_0;1.9900000000000002
:1377940920_2_0;0.55
:1372233731_0_1;30.2
:cluster_25292476_25292480_5_0;22.370000000000008
:59953366_1_0;7.25
:59953366_9_0;17.84
:60004721_11_0;2.01
:1377610493_0_1;11.86
:3232054224_0_0;0.6599999999999999
:1377211669_4_0;9.02
:103062861_3_0;5.26
:103062861_0_0;31.189999999999998
:1372425705_4_0;22.19
:1377940920_4_0;24.85
:56116937_6_0;0.16
:56116937_16_0;16.57
:56116937_1_0;73.1
:25291567_16_0;0.31999999999999995
:1377940926_6_0;48.599999999999994
82410875_0;349.3199999999999
:1377940926_5_0;0.34
:60170471_7_0;0.57
:60004721_10_0;14.809999999999997
:60170471_10_0;4.76
:1372260455_6_0;6.890000000000001
:59953366_6_0;2.63
:1372441189_3_0;14.920000000000002
:1372318831_2_0;11.61
217644150_0;361.87000000000006
:58753656_2_0;20.519999999999996
-77465095#1_0;561.2299999999997
:cluster_1372318829_159619609_13_0;2.41
