Total emissions: 333991.6099999999
 
time(s); Emission 
1131.00;135.85000000000002
1132.00;149.82000000000008
1133.00;155.69999999999987
1134.00;169.58999999999997
1135.00;172.12000000000006
1136.00;172.87999999999997
1137.00;175.52000000000007
1138.00;173.79000000000005
1139.00;175.33000000000004
1140.00;178.68999999999997
1141.00;175.02000000000004
1142.00;167.49999999999991
1143.00;159.56000000000003
1144.00;172.85000000000002
1145.00;174.8200000000001
1146.00;182.17000000000004
1147.00;177.03000000000006
1148.00;185.76
1149.00;191.68
1150.00;185.67000000000004
1151.00;171.71000000000006
1152.00;190.24999999999997
1153.00;153.97999999999996
1154.00;148.48
1155.00;142.73000000000005
1156.00;153.27999999999997
1157.00;142.22
1158.00;135.43000000000004
1159.00;127.55999999999999
1160.00;121.39999999999996
1161.00;129.54999999999998
1162.00;109.57000000000002
1163.00;106.95000000000005
1164.00;103.80999999999996
1165.00;122.92000000000003
1166.00;117.74999999999997
1167.00;117.25000000000001
1168.00;129.37000000000003
1169.00;131.17000000000002
1170.00;122.83999999999996
1171.00;140.23000000000002
1172.00;144.49000000000007
1173.00;145.42
1174.00;143.45000000000005
1175.00;129.01000000000005
1176.00;131.48000000000002
1177.00;140.20000000000007
1178.00;150.42999999999998
1179.00;154.17000000000002
1180.00;157.55000000000007
1181.00;149.55000000000004
1182.00;145.3199999999999
1183.00;144.31
1184.00;156.24000000000007
1185.00;156.91000000000003
1186.00;174.84
1187.00;166.0100000000001
1188.00;187.29999999999995
1189.00;173.26000000000005
1190.00;175.55
1191.00;171.39000000000004
1192.00;153.04
1193.00;156.98000000000005
1194.00;160.47000000000006
1195.00;172.7200000000001
1196.00;167.4
1197.00;166.36000000000007
1198.00;167.82999999999998
1199.00;153.37999999999988
1200.00;153.2000000000001
1201.00;166.04999999999998
1202.00;167.58
1203.00;142.48000000000002
1204.00;153.93000000000004
1205.00;144.35999999999999
1206.00;141.70999999999998
1207.00;144.81000000000003
1208.00;126.8
1209.00;127.31999999999996
